track_popularity,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_album_release_year
0.81,1,1,0.654,0.76,0.0,0.9,0,0.045,0.0797,0.0,0.299,0.41,0.42,2015
0.79,1,1,0.63,0.928,0.82,0.92,0,0.0331,0.199,0.12,0.148,0.465,0.52,2016
0.84,1,1,0.532,0.783,0.18,0.86,1,0.0523,0.0038,0.0,0.161,0.643,0.52,2013
0.84,1,1,0.694,0.77,0.55,0.86,1,0.149,0.176,0.0,0.118,0.163,0.53,2018
0.66,1,1,0.604,0.787,0.0,0.9,0,0.103,0.0679,0.15,0.127,0.301,0.53,2011
0.08,1,1,0.432,0.74,0.64,0.87,1,0.062,0.0342,0.0,0.14,0.193,0.58,2015
0.64,1,1,0.638,0.832,0.73,0.87,1,0.049,0.141,0.0,0.113,0.648,0.52,2010
0.61,1,1,0.759,0.716,1.0,0.84,0,0.0818,0.0223,0.0,0.231,0.469,0.44,2017
0.27,1,1,0.614,0.832,1.0,0.9,0,0.0522,0.11,0.0,0.185,0.429,0.54,2012
0.74,1,1,0.669,0.832,0.0,0.86,1,0.0682,0.0106,0.0,0.0968,0.7,0.47,2016
0.57,1,1,0.702,0.781,0.0,0.89,1,0.03,0.433,0.0,0.135,0.382,0.43,2012
0.69,1,1,0.851,0.806,0.36,0.88,1,0.0786,0.12,0.0,0.121,0.776,0.5,2008
0.77,1,1,0.738,0.868,1.0,0.88,0,0.0731,0.0389,0.0,0.388,0.336,0.51,2015
0.74,1,1,0.57,0.672,0.73,0.85,0,0.0723,0.177,0.0,0.0768,0.448,0.5,2020
0.05,1,1,0.67,0.89,0.45,0.9,0,0.0576,0.122,0.0,0.333,0.568,0.52,2019
0.57,1,1,0.708,0.727,0.82,0.82,1,0.0389,0.0201,0.68,0.37,0.512,0.5,2019
0.68,1,1,0.654,0.787,0.36,0.87,1,0.0502,0.00515,0.0,0.144,0.409,0.52,2019
0.65,1,1,0.945,0.584,0.55,0.82,0,0.044,0.0955,0.34,0.147,0.626,0.52,2019
0.58,1,1,0.704,0.929,0.0,0.88,1,0.0395,0.0395,0.03,0.181,0.633,0.53,2019
0.81,1,1,0.765,0.906,0.73,0.93,0,0.0965,0.125,0.0,0.423,0.95,0.4,2019
0.68,1,1,0.682,0.855,0.64,0.91,1,0.0401,0.0566,0.0,0.101,0.304,0.52,2020
0.43,1,1,0.627,0.662,0.64,0.83,0,0.0349,0.0922,0.0,0.143,0.596,0.52,2019
0.57,1,1,0.762,0.736,0.64,0.82,1,0.0778,0.135,0.05,0.113,0.248,0.53,2019
0.58,1,1,0.577,0.844,0.64,0.91,1,0.0406,0.00407,0.0,0.499,0.283,0.48,2019
0.58,1,1,0.632,0.816,0.73,0.88,1,0.0349,0.00205,0.11,0.119,0.134,0.53,2019
0.91,1,1,0.598,0.526,0.91,0.79,0,0.0415,0.129,0.0,0.14,0.529,0.52,2019
0.67,1,1,0.825,0.841,0.0,0.84,1,0.135,0.0906,0.0,0.258,0.616,0.53,2019
0.42,1,1,0.63,0.731,0.55,0.87,1,0.0352,0.0191,0.0,0.704,0.46,0.5,2019
0.7,1,1,0.795,0.899,0.0,0.89,1,0.0685,0.00235,0.0,0.199,0.329,0.53,2019
0.64,1,1,0.529,0.717,0.55,0.83,0,0.24,0.123,0.0,0.0363,0.481,0.43,2017
0.79,1,1,0.7,0.872,0.91,0.85,1,0.0666,0.121,0.0,0.103,0.761,0.52,2018
0.48,1,1,0.791,0.541,0.09,0.83,1,0.054,0.123,0.0,0.121,0.433,0.48,2020
0.53,1,1,0.904,0.633,0.0,0.86,1,0.0958,0.203,0.0,0.163,0.492,0.51,2019
0.75,1,1,0.744,0.725,1.0,0.85,1,0.0303,0.018,0.0,0.212,0.904,0.49,2019
0.46,1,1,0.772,0.687,0.82,0.84,0,0.211,0.0528,0.0,0.834,0.59,0.49,2019
0.67,1,1,0.706,0.524,0.55,0.79,1,0.026,0.127,0.0,0.109,0.296,0.47,2019
0.65,1,1,0.664,0.699,1.0,0.83,0,0.27,0.0352,0.0,0.0612,0.252,0.51,2019
0.56,1,1,0.781,0.745,0.09,0.87,0,0.0374,0.0814,0.0,0.106,0.498,0.46,2019
0.42,1,1,0.789,0.547,0.82,0.79,0,0.0748,0.072,0.0,0.0782,0.48,0.5,2019
0.58,1,1,0.575,0.808,0.09,0.88,1,0.0439,0.0446,0.0,0.0693,0.232,0.53,2019
0.74,1,1,0.669,0.797,0.82,0.86,0,0.0624,0.259,0.0,0.199,0.552,0.5,2019
0.65,1,1,0.567,0.946,0.45,0.93,0,0.0541,0.0978,0.0,0.0836,0.295,0.44,2019
0.64,1,1,0.653,0.757,0.27,0.9,1,0.0555,0.0997,0.0,0.242,0.233,0.53,2019
0.51,1,1,0.721,0.779,0.55,0.89,0,0.0606,0.142,0.0,0.143,0.327,0.46,2019
0.63,1,1,0.534,0.765,0.09,0.91,1,0.0338,0.0915,0.0,0.225,0.117,0.53,2018
0.83,1,1,0.651,0.693,0.36,0.88,1,0.0375,0.458,0.0,0.335,0.392,0.5,2019
0.55,1,1,0.682,0.923,0.0,0.91,1,0.0364,0.00395,0.0,0.242,0.37,0.54,2019
0.39,1,1,0.66,0.827,0.91,0.87,1,0.0789,0.429,0.0,0.0923,0.611,0.48,2019
0.48,1,1,0.57,0.965,0.55,0.87,0,0.0348,0.00108,0.53,0.201,0.148,0.51,2019
0.59,1,1,0.608,0.918,0.0,0.95,0,0.0684,0.199,0.0,0.309,0.422,0.53,2019
0.64,1,1,0.561,0.562,0.82,0.74,0,0.15,0.062,0.0,0.118,0.244,0.63,2019
0.42,1,1,0.591,0.88,0.36,0.87,0,0.223,0.0804,0.0,0.326,0.482,0.53,2019
0.7,1,1,0.626,0.8,0.09,0.89,0,0.035,0.0267,0.0,0.0623,0.258,0.53,2018
0.57,1,1,0.745,0.8,1.0,0.86,0,0.0361,0.0209,0.0,0.113,0.314,0.51,2019
0.21,1,1,0.66,0.857,0.18,0.87,1,0.321,0.167,0.0,0.119,0.233,0.54,2019
0.68,1,1,0.53,0.729,0.0,0.85,1,0.0376,0.00699,0.0,0.103,0.219,0.58,2019
0.63,1,1,0.552,0.887,0.09,0.9,1,0.147,0.0457,0.02,0.0903,0.783,0.52,2019
0.54,1,1,0.471,0.911,0.18,0.88,0,0.0594,0.0316,0.01,0.571,0.197,0.53,2019
0.79,1,1,0.747,0.776,0.91,0.85,0,0.0722,0.0233,0.0,0.761,0.67,0.52,2019
0.72,1,1,0.712,0.664,1.0,0.81,1,0.0345,0.0416,0.0,0.0668,0.781,0.51,2019
0.8,1,1,0.733,0.859,0.82,0.87,0,0.033,0.479,0.06,0.105,0.52,0.52,2019
0.47,1,1,0.517,0.793,0.55,0.85,0,0.0367,0.0214,0.0,0.0892,0.176,0.38,2019
0.19,1,1,0.675,0.674,0.36,0.84,1,0.0372,0.00339,0.0,0.279,0.414,0.52,2019
0.79,1,1,0.818,0.823,1.0,0.9,0,0.2,0.0663,0.0,0.133,0.52,0.54,2019
0.59,1,1,0.639,0.591,0.64,0.89,0,0.0344,0.128,0.0,0.159,0.305,0.53,2019
0.68,1,1,0.535,0.906,0.55,0.88,0,0.0353,0.0202,0.0,0.0886,0.732,0.53,2019
0.72,1,1,0.784,0.721,0.73,0.86,1,0.0506,0.0149,0.0,0.285,0.895,0.51,2019
0.66,1,1,0.809,0.758,0.36,0.86,0,0.101,0.409,0.0,0.166,0.71,0.52,2019
0.59,1,1,0.669,0.793,0.09,0.85,1,0.0403,0.0318,0.04,0.555,0.159,0.51,2020
0.64,1,1,0.578,0.786,0.82,0.88,1,0.13,0.232,0.0,0.122,0.347,0.44,2019
0.09,1,1,0.733,0.839,0.09,0.92,0,0.0335,0.0145,0.0,0.162,0.471,0.53,2019
